oligo_name	source_plate_id	source_plate_nr	source_well_nr	dest_plate_id	dest_plate_nr	dest_well_nr	volume
73_MseI_MARK3_ROI_7	5	plate_0003A	G1	1	plate_ep01	B4	15
74_MseI_MARK3_ROI_10	5	plate_0003A	G2	1	plate_ep01	B4	15
75_MseI_MARK3_ROI_11	5	plate_0003A	G3	1	plate_ep01	B4	15
76_MseI_MARK3_ROI_12	5	plate_0003A	G4	1	plate_ep01	B4	15
77_MseI_MARK3_ROI_13	5	plate_0003A	G5	1	plate_ep01	B4	15
78_MseI_MARK3_ROI_14	5	plate_0003A	G6	1	plate_ep01	B4	15
79_MseI_AKT2_ROI_13	5	plate_0003A	G7	1	plate_ep01	B4	15
80_MseI_AKT2_ROI_12	5	plate_0003A	G8	1	plate_ep01	B4	15
81_MseI_AKT2_ROI_11	5	plate_0003A	G9	1	plate_ep01	B4	15
82_MseI_AKT2_ROI_9	5	plate_0003A	G10	1	plate_ep01	B4	15
83_MseI_AKT2_ROI_8	5	plate_0003A	G11	1	plate_ep01	B4	15
84_MseI_AKT2_ROI_7	5	plate_0003A	G12	1	plate_ep01	B4	15
85_MseI_AKT2_ROI_6	5	plate_0003A	H1	1	plate_ep01	B4	15
86_MseI_AKT2_ROI_5	5	plate_0003A	H2	1	plate_ep01	B4	15
87_MseI_AKT2_ROI_4	5	plate_0003A	H3	1	plate_ep01	B4	15
88_MseI_AKT2_ROI_3	5	plate_0003A	H4	1	plate_ep01	B4	15
89_MseI_TP53_ROI_8	5	plate_0003A	H5	1	plate_ep01	B4	15
90_MseI_TP53_ROI_6	5	plate_0003A	H6	1	plate_ep01	B4	15
91_MseI_TP53_ROI_5	5	plate_0003A	H7	1	plate_ep01	B4	15
92_MseI_TP53_ROI_4	5	plate_0003A	H8	1	plate_ep01	B4	15
93_MseI_TP53_ROI_3	5	plate_0003A	H9	1	plate_ep01	B4	15
94_MseI_TP53_ROI_2	5	plate_0003A	H10	1	plate_ep01	B4	15
95_MseI_TP53_ROI_1	5	plate_0003A	H11	1	plate_ep01	B4	15
96_MseI_EGFR_ROI_3	5	plate_0003A	H12	1	plate_ep01	B4	15
